"","logFC","logCPM","PValue","FDR"
"YPR062W",0.00740151036699806,8.32537235041812,0.924173080166628,0.959020013213949
"YJR154W",0.0500897608754217,3.52745335646988,0.924682871839797,0.959380773746463
"YGR054W",-0.00969143150277209,7.08261052569946,0.927473747841531,0.962107672857352
"YOR136W",-0.00608233999522259,8.59021900874804,0.928227186321872,0.962720466514727
"YEL059C-A",0.061846841162963,3.77963319479507,0.928856042238849,0.963203855928369
"YPL047W",-0.0466788365960089,4.05189785468575,0.933451109765686,0.967724717577481
"YDR422C",0.0210422277742945,5.89712552549791,0.93354278991588,0.967724717577481
"YBL037W",-0.0184695626473763,5.95579460119742,0.936007470437277,0.970109686911433
"YDL170W",0.0233371897015123,5.71699473336633,0.93720107635987,0.97117666704402
"YDR036C",0.0203487397691321,5.97940986861807,0.938414439447926,0.972263743339762
"YJR015W",0.0104482366497605,7.21530422235292,0.939916614438366,0.97364961618204
"YDL156W",-0.0324877548378237,4.20162669414614,0.942290933974332,0.97593829097254
"YFR033C",0.00916399299701826,7.47791397071276,0.942573023576161,0.976059604567753
"YOL124C",0.0362493044603523,4.51111844156182,0.944584744904566,0.977971642274772
"YHR178W",0.0282845096665475,4.82648655127973,0.945090628171173,0.978324220939263
"YMR220W",0.0108718311220656,6.61770719746421,0.945525792585637,0.978603483422986
"YJL107C",0.0597288686079912,4.17061006535808,0.945786695096364,0.97870232159587
"YOR161C",0.0110237291672444,7.13505775437751,0.946343835968302,0.979076758856391
"YMR251W",-0.0529690807628915,4.50315300918767,0.946479476197153,0.979076758856391
"YGR201C",0.033104618526246,4.7931696088528,0.948279380810075,0.980767190395598
"YHR196W",0.0248684041109182,4.59089049995338,0.950506418166212,0.982898720078553
"YDL201W",-0.0228903538582988,5.18632741302908,0.954044591779297,0.986385086415883
"YER175C",-0.0326246799119883,5.05192306614551,0.954475752239007,0.986658460167401
"YDL052C",-0.00573164993776207,7.26865174060154,0.955730921031351,0.987783381614411
"YDR488C",-0.0226982314918091,5.1446458160116,0.957064579903854,0.988989018388248
"YBR094W",0.0252506649901283,5.51109239917874,0.957284603615072,0.989043652800834
"YLR178C",0.00531446307273822,7.50907682075173,0.957699193476565,0.989299254155174
"YJL061W",0.0162765866636793,5.67374240839478,0.960133540137886,0.991640802408077
"YJR059W",0.0055598238436625,7.89951864371193,0.962827924768541,0.994250057740918
"YLR173W",0.0145445518279739,6.07683133160499,0.967436655025787,0.998834878343672
"YCR061W",0.0086857283097849,6.3394374735332,0.970513824903678,1
"YJL066C",-0.00729593384455697,6.32332901746474,0.9708454957776,1
"YDR204W",0.0103740703237836,6.3278076238079,0.971634985810578,1
"YLR204W",0.0102163862447434,6.64787411144036,0.971905890675819,1
"YNL066W",0.00371006248441942,8.14247748903334,0.972789860216514,1
"YBR268W",0.00989781895944723,6.282957443582,0.973431054605283,1
"YAL020C",-0.00788844749221325,6.72963100936306,0.975013759089644,1
"YBR079C",-0.00271730479641623,8.4771399736663,0.977080353687441,1
"YER110C",-0.00503846093742087,7.446358377275,0.981458987402842,1
"YPR170W-B",0.00594971149755238,7.61864226272486,0.982388923186492,1
"YLR142W",-0.0201274038122436,4.77979792021373,0.999999999999996,1
"YOR293C-A",-2.19763447458261,0.752308913866476,0.999999999999998,1
"YDR169C-A",-2.19751092191895,0.752308180041403,0.999999999999998,1
"YDR446W",-2.19730022219466,0.752306928131693,0.999999999999998,1
"YHR022C-A",1.64265779874385,0.752202519403809,0.999999999999998,1
"YLR013W",1.64265779874385,0.752202519403809,0.999999999999998,1
"YMR242W-A",1.64265779874385,0.752202519403809,0.999999999999998,1
"YPR108W-A",1.64265779874385,0.752202519403809,0.999999999999998,1
"Q0085",1.64265779874385,0.752202519403809,0.999999999999998,1
"Q0120",1.64265779874385,0.752202519403809,0.999999999999998,1
